fecha;ica_expo_total;ica_impo_total;ica_saldo;ica_expo_pp;ica_expo_moa;ica_expo_moi;ica_expo_ce;ica_impo_bk;ica_impo_bi;ica_impo_cyl;ica_impo_piezas;ica_impo_bc;ica_impo_vehic;ica_impo_resto
2014-01-01;4275.0;5649.0;-1374.0;643.8703345806854;1685.029540393698;1423.195783628477;523.2050596797475;1178.6979431810532;1572.6999851263083;784.0779322558508;1070.3541889592134;626.2390654777757;405.3500918569039;18.25887747603801
2014-02-01;4648.0;5537.0;-889.0;797.991469115248;1625.8710517422714;1701.3224282387778;522.5467144525009;870.2718795141271;1482.8042697732512;1050.0554472527415;1198.9637411997537;556.1540407850856;370.2571933269493;16.15773996336376
2014-03-01;4913.0;5390.0;-477.0;902.1841280311666;1536.0656803265872;1875.5878872142196;599.1190794818738;799.2281773075132;1500.4740030384137;1124.6973317301324;1192.2343630746182;505.12188450809936;248.99983730085603;17.135710090435445
2014-04-01;6479.0;5656.0;823.0;1581.082210815946;2768.2707290572453;1740.972795414813;388.1965611872422;956.7348842729564;1577.9579948753485;1113.819152439287;1116.4784556997151;545.904790451081;326.49727586912866;17.028633109672896
2014-05-01;7179.0;5777.0;1402.0;1672.2053855828967;3000.864813027212;2076.4391879934083;429.008402062739;969.3901251820204;1614.7406140729745;1149.337183745212;1126.8463446379888;534.6233588341411;371.7406272329383;19.296538421986227
2014-06-01;7204.0;5848.0;1356.0;1743.3798167103814;2959.6096842055235;1965.36513386879;535.3518193410699;1039.8656544247838;1514.422958144702;1374.6864458123591;1054.4345023798294;519.2953262207976;333.24243580177404;20.596491362894888
2014-07-01;6417.0;6145.0;272.0;1837.5110226059464;2410.7619621254967;1900.848875744069;267.79180288171045;1097.4429611253768;1595.345240779138;1482.2937671135803;1143.2312755732155;561.4799780424194;251.85970620810963;20.62656831320507
2014-08-01;6420.0;5644.0;776.0;1719.9287069105292;2447.225603724501;1919.8112253079496;332.99000768601576;1040.2342551709737;1601.3870668672585;984.4805578385552;1143.9613328245669;561.8936584275796;299.4089805325483;20.77903015610509
2014-09-01;5685.0;5644.0;41.0;983.7897370659488;2243.7139992744087;2071.2591964490966;386.46934242147984;1073.7100611333308;1723.3162778197398;726.217084081562;1246.273774329126;620.2928468263506;239.005343599244;22.50716731119784
2014-10-01;5794.0;5494.0;300.0;1021.36891073283;2120.75062314804;2249.234531486279;402.6833755603908;1069.7664701597878;1780.1938286657132;685.6912619250121;1068.2999918724563;602.0161269188093;273.3247836334624;27.884766089415955
2014-11-01;4889.0;4651.0;238.0;680.2687726687301;1906.2755661032584;2006.464400375457;296.18018340427244;991.3707819828752;1424.3297075109426;491.3510518814594;976.2915698607184;514.0859805425724;220.687646280042;25.18607958270414
2014-12-01;4502.0;4300.0;202.0;633.9125164392722;1715.984917906895;1893.3229966585088;259.0626409764327;890.5920921446892;1377.9682235149833;453.491579104318;804.5359715154236;537.8828626429424;233.44461812358335;23.702991374379824
2015-01-01;3796.0;4363.0;-567.0;798.4061263487536;1563.668081233344;1219.558789735903;214.3505040282213;841.6079030654646;1556.614100031304;414.1578863539039;876.4332495212104;549.8865338540564;135.16000255756072;23.023031604300726
2015-02-01;3872.0;4085.0;-213.0;685.2783268308169;1545.8248549045106;1382.1121517348154;258.5011832574542;792.6649343889446;1323.8498980195438;386.7936282017153;865.4376665557004;471.30459229361;228.3682403480633;22.28767535373316
2015-03-01;4381.0;5059.0;-678.0;891.3601374873203;1508.2863564329032;1747.072367763651;234.741403944368;1027.633761252599;1531.4854846838505;507.8376058426381;1124.9971558755744;562.9276101135149;287.34071764908657;23.573244434309288
2015-04-01;5155.0;4933.0;222.0;1409.1021927034928;2179.474421453146;1416.351477715635;150.3434286062709;993.4037981407156;1540.825570000567;571.8432775083513;1023.8238046927938;533.6081058461663;249.8108998928218;24.55012908758298
2015-05-01;5206.0;5003.0;203.0;1640.229736091344;1813.047431347191;1516.5937085194316;235.63323832765929;993.9882356249828;1444.0184910866892;744.3165762986765;1016.9443704311652;471.8316343107815;314.4350630203257;22.36486033879069
2015-06-01;6046.0;5707.0;339.0;1765.73540910085;2403.938102560579;1668.0203822330627;208.77983168670272;1000.4664511397904;1618.23023915382;998.4571046357984;1170.1323158108494;554.8447792329232;345.99348920769955;24.00333382134541
2015-07-01;5569.0;5801.0;-232.0;1412.3692739580945;2525.3943631259426;1495.0257404537883;136.10410615806344;1021.2727401331232;1601.5269217617915;1058.8878676589193;1181.8579259015312;615.8262544010987;317.02582001872327;22.205328248809323
2015-08-01;5136.0;5605.0;-469.0;1270.443150349672;2186.607762601826;1573.814885987487;104.85840517572056;1124.0977112215087;1573.7035425369145;689.4948182318424;1227.5134826094895;625.589525615739;349.5560039542609;18.44766619172552
2015-09-01;5162.0;5487.0;-325.0;1266.137513915957;2291.043103210778;1479.8492279782186;124.97255164268049;1146.843452112302;1559.0047619282077;599.8296734652356;1230.742415941027;636.8374876222066;286.9675756450738;27.95610552335573
2015-10-01;5033.0;5058.0;-25.0;1093.1556991843652;2127.881081925755;1577.7934193438325;234.1270187893748;1095.2788260688792;1517.4705734177887;405.5476195463792;1133.1045397920077;606.3990828705245;284.7273330958556;23.962553082996397
2015-11-01;3999.0;4700.0;-701.0;616.3202506231569;1695.7360647173252;1523.483071640716;163.0894579597713;1049.2950246648395;1451.5029292623265;287.86212504435;1041.670928121472;616.2081327867002;233.0583068076519;22.496564151019967
2015-12-01;3429.0;4404.0;-975.0;452.4758288559564;1446.844793141238;1349.89423695115;180.12186262800574;947.1058326459668;1385.6461047561852;286.50848148392294;868.8330258911477;574.9588663444365;320.94067976949674;21.49336272175362
2016-01-01;3875.0;4124.0;-249.0;915.0;1830.5230156699836;977.944014480222;151.0;850.0;1282.0;294.0;843.0;532.0;307.0;15.0
2016-02-01;4143.0;4097.0;46.0;1104.0;1730.000880910403;1174.1834907168186;135.0;850.0;1217.0;287.0;925.0;507.0;297.0;14.0
2016-03-01;4426.0;4556.0;-130.0;1294.0;1753.9664256133008;1237.5791445947043;141.0;858.0;1368.0;268.0;1098.0;622.0;327.0;15.0
2016-04-01;4743.0;4423.0;320.0;1343.0;1835.0628511270584;1378.867351057723;186.0;884.0;1312.0;255.0;1006.0;569.0;379.0;18.0
2016-05-01;5377.0;4874.0;503.0;1670.0;2216.2101735461656;1349.3510591983843;142.0;1063.0;1429.0;426.0;946.0;604.0;389.0;18.0
2016-06-01;5307.0;5048.0;259.0;1617.0;2066.2974197282874;1452.944857186083;171.0;1035.0;1316.0;764.0;876.0;612.0;429.0;16.0
2016-07-01;4991.0;4713.0;278.0;1552.0;2016.4684018656012;1321.5235836312495;101.0;908.0;1224.0;809.0;843.0;599.0;312.0;19.0
2016-08-01;5770.0;5175.0;595.0;1920.0;2139.1595345281075;1589.0497629668032;122.0;1143.0;1309.0;546.0;1038.0;698.0;419.0;22.0
2016-09-01;5042.0;4800.0;242.0;1291.0;1916.130375330384;1661.3262824885337;173.0;1095.0;1302.0;450.0;879.0;701.0;354.0;19.0
2016-10-01;4729.0;4783.0;-54.0;1104.0;1880.0;1520.0;224.0;1176.0;1253.0;316.0;1088.0;648.0;285.0;17.0
2016-11-01;4848.0;4723.0;125.0;891.3507992192812;2075.6475078588314;1642.9442616920949;237.71149650061085;1073.0;1277.0;282.0;967.0;678.0;428.0;18.25039721392257
2016-12-01;4628.0;4595.0;33.0;989.0;1890.0;1499.0;251.0;1188.0;1193.0;217.0;800.0;631.0;543.0;23.0
2017-01-01;4291.0;4344.0;-53.0;1073.0;1829.0;1154.0;235.0;963.0;1193.0;261.0;929.0;639.0;336.0;23.0
2017-02-01;3899.0;4117.0;-218.0;945.0;1579.0;1181.0;194.0;976.0;1112.0;264.0;737.0;558.0;451.0;20.0
2017-03-01;4564.0;5475.0;-911.0;1063.0;1943.0;1370.0;189.0;1164.0;1583.0;331.0;1054.0;771.0;547.0;24.0
2017-04-01;4867.0;4973.0;-106.0;1342.0;1917.0;1460.0;148.0;1109.0;1358.0;387.0;955.0;639.0;503.0;22.0
